SECCODE,DATE,OBPLOTNO,BUYSELLOBP,TRADESNOTRADES,BUYSELLYIELD,OBPTDVOLRATIO,MINMAXRATIO
LKOH,2007-10-08,46,B,TRUE,9.453688269233057,0.00624241896733128,2170.3
LKOH,2007-10-08,52,B,TRUE,0.548729892327049,0.01382773972280334,2153.05
LKOH,2007-10-08,60,B,TRUE,0.7314997757960112,0.01086911719654523,2150.95
LKOH,2007-10-08,64,S,TRUE,-8.32900751854519,0.05853504394552477,2149.99
LKOH,2007-10-08,68,S,TRUE,-2.152381775180326,0.00302222150979604,2149.72
LKOH,2007-10-08,77,B,TRUE,0.7879096818419895,0.00159093258196673,2147.99
LKOH,2007-10-08,83,B,TRUE,9.22560437940334,0.00631086050583837,2146.87
LKOH,2007-10-08,129,S,TRUE,-53.16644429757,0.04462913092959953,2194.99
LKOH,2007-10-08,284,B,TRUE,36.78949030802677,0.00549930992611854,2173.94
LKOH,2007-10-08,302,S,TRUE,-1.5488428315048215,0.01517391750615667,2195
LKOH,2007-10-08,474,S,TRUE,-6.419027835818011,0.00445376270433999,2196
LKOH,2007-10-08,536,B,TRUE,0.8827019997322236,0.01619495115273539,2163.11
LKOH,2007-10-08,799,B,TRUE,72.57114143090766,0.00896769410260828,2156.5
LKOH,2007-10-08,911,B,TRUE,1.2431390386954448,0.00341804486057912,2166.42
LKOH,2007-10-08,913,B,TRUE,39.27243766964658,0.0268527422674479,2184
LKOH,2007-10-08,1294,B,TRUE,2.241233762265635,0.00798806574694724,2151.9
LKOH,2007-10-08,1399,B,TRUE,0.00389058783554499,0.00589899894861701,2180
LKOH,2007-10-08,1502,S,TRUE,-7.123166720344546,0.00144235206776929,2167.5
LKOH,2007-10-08,1505,B,TRUE,34.98987202252837,0.00306089299634612,2174.03
LKOH,2007-10-08,1555,B,TRUE,100,0.00386985155802846,2152.78
LKOH,2007-10-08,1603,B,TRUE,-0.04422768810407441,0.0052078308669449,2182
LKOH,2007-10-08,1629,S,TRUE,-5.073388278318941,0.00613210585184478,2183
LKOH,2007-10-08,1681,B,TRUE,0.20199776181198176,0.02012290246068141,2185
LKOH,2007-10-08,1742,S,TRUE,0,0.03384313957081782,2190
LKOH,2007-10-08,1748,S,TRUE,-3.1987768965826713,0.01799762814815224,2187
LKOH,2007-10-08,1768,S,TRUE,-6.365865059773886,0.00953503320330943,2194.5
LKOH,2007-10-08,1842,S,TRUE,-11.556162400975015,0.02122685080500531,2188
LKOH,2007-10-08,1862,S,TRUE,-31.120430635111568,0.0033896139052544,2186
LKOH,2007-10-08,1869,S,TRUE,-11.245831676031036,0.12956668791474912,2193.65
LKOH,2007-10-08,1886,B,TRUE,100,0.00105196913134627,2184.89
LKOH,2007-10-08,1894,S,TRUE,-100,0.01701589804503048,2187.9
LKOH,2007-10-08,1903,S,TRUE,0.5530417295123136,0.01316808402521339,2187.9
LKOH,2007-10-08,1915,B,TRUE,-0.00100686406694164,0.0026363178654828,2185.01
LKOH,2007-10-08,1988,S,TRUE,-2.4712110147587705,0.01422674015361121,2187
LKOH,2007-10-08,2076,B,TRUE,100,0.01688772321015638,2185.19
LKOH,2007-10-08,2082,S,TRUE,-42.857142857142854,1.3587523193788e-4,2187.89
LKOH,2007-10-08,2108,B,TRUE,-0.00130630122711183,0.00390559060042544,2188
