,Unnamed: 0,DATE,SECCODE,OBPLOTNO,BUYSELLOBP,TRADESNOTRADES,BUYSELLYIELD,OBPTDVOLRATIO,MINMAXRATIO,GROUP
0,23,2007-10-08,LKOH,46,B,T,9.453688269233057,0.0062424189673312,2170.3,4
1,26,2007-10-08,LKOH,52,B,T,0.548729892327049,0.0138277397228033,2153.05,0
2,27,2007-10-08,LKOH,60,B,T,0.7314997757960112,0.0108691171965452,2150.95,0
3,28,2007-10-08,LKOH,64,S,T,-8.32900751854519,0.0585350439455247,2149.99,0
4,29,2007-10-08,LKOH,68,S,T,-2.152381775180326,0.003022221509796,2149.72,0
5,31,2007-10-08,LKOH,77,B,T,0.7879096818419895,0.0015909325819667,2147.99,0
6,32,2007-10-08,LKOH,83,B,T,9.22560437940334,0.0063108605058383,2146.87,0
7,55,2007-10-08,LKOH,129,S,T,-53.16644429757,0.0446291309295995,2194.99,4
8,129,2007-10-08,LKOH,284,B,T,36.78949030802677,0.0054993099261185,2173.94,4
9,138,2007-10-08,LKOH,302,S,T,-1.5488428315048215,0.0151739175061566,2195.0,4
10,223,2007-10-08,LKOH,474,S,T,-6.419027835818011,0.0044537627043399,2196.0,4
11,253,2007-10-08,LKOH,536,B,T,0.8827019997322236,0.0161949511527353,2163.11,0
12,373,2007-10-08,LKOH,799,B,T,72.57114143090766,0.0089676941026082,2156.5,3
13,419,2007-10-08,LKOH,911,B,T,1.2431390386954448,0.0034180448605791,2166.42,0
14,420,2007-10-08,LKOH,913,B,T,39.27243766964658,0.0268527422674479,2184.0,4
15,586,2007-10-08,LKOH,1294,B,T,2.241233762265635,0.0079880657469472,2151.9,0
16,629,2007-10-08,LKOH,1399,B,T,0.0038905878355449,0.005898998948617,2180.0,4
17,660,2007-10-08,LKOH,1502,S,T,-7.123166720344546,0.0014423520677692,2167.5,4
18,661,2007-10-08,LKOH,1505,B,T,34.98987202252837,0.0030608929963461,2174.03,4
19,670,2007-10-08,LKOH,1555,B,T,100.0,0.0038698515580284,2152.78,3
20,685,2007-10-08,LKOH,1603,B,T,-0.0442276881040744,0.0052078308669449,2182.0,4
21,691,2007-10-08,LKOH,1629,S,T,-5.073388278318941,0.0061321058518447,2183.0,4
22,708,2007-10-08,LKOH,1681,B,T,0.2019977618119817,0.0201229024606814,2185.0,4
23,720,2007-10-08,LKOH,1742,S,T,0.0,0.0338431395708178,2190.0,4
24,722,2007-10-08,LKOH,1748,S,T,-3.1987768965826717,0.0179976281481522,2187.0,4
25,728,2007-10-08,LKOH,1768,S,T,-6.365865059773886,0.0095350332033094,2194.5,4
26,759,2007-10-08,LKOH,1842,S,T,-11.556162400975015,0.0212268508050053,2188.0,4
27,763,2007-10-08,LKOH,1862,S,T,-31.120430635111568,0.0033896139052544,2186.0,4
28,766,2007-10-08,LKOH,1869,S,T,-11.245831676031036,0.1295666879147491,2193.65,2
29,771,2007-10-08,LKOH,1886,B,T,100.0,0.0010519691313462,2184.89,3
30,773,2007-10-08,LKOH,1894,S,T,-100.0,0.0170158980450304,2187.9,1
31,776,2007-10-08,LKOH,1903,S,T,0.5530417295123136,0.0131680840252133,2187.9,4
32,781,2007-10-08,LKOH,1915,B,T,-0.0010068640669416,0.0026363178654828,2185.01,4
33,804,2007-10-08,LKOH,1988,S,T,-2.4712110147587705,0.0142267401536112,2187.0,4
34,824,2007-10-08,LKOH,2076,B,T,100.0,0.0168877232101563,2185.19,3
35,827,2007-10-08,LKOH,2082,S,T,-42.85714285714285,0.0001358752319378,2187.89,4
36,837,2007-10-08,LKOH,2108,B,T,-0.0013063012271118,0.0039055906004254,2188.0,4
37,886,2007-10-08,LKOH,2250,S,T,-99.46526724123224,0.0016888600560208,2187.8,1
38,950,2007-10-08,LKOH,2452,S,T,-23.33179657403982,0.0010106594941732,2185.69,4
39,957,2007-10-08,LKOH,2482,S,T,-100.0,0.0268731747159252,2186.99,1
40,958,2007-10-08,LKOH,2484,B,T,-0.1380899688154433,0.0022195562773091,2186.98,4
41,970,2007-10-08,LKOH,2531,S,T,0.0457456541628545,0.0061513720504831,2186.0,4
42,978,2007-10-08,LKOH,2571,B,T,3.000198732111975,0.0036580979678848,2187.5,4
43,1011,2007-10-08,LKOH,2699,B,T,25.11116327366484,0.0081770901120475,2181.0,4
44,1039,2007-10-08,LKOH,2777,S,T,-68.53327305263838,0.000658931730301,2183.0,1
45,1047,2007-10-08,LKOH,2803,S,T,-100.0,0.0217122028001225,2182.9,1
46,1069,2007-10-08,LKOH,2865,S,T,1.2787713297400083,0.0036253708008158,2181.0,4
47,1075,2007-10-08,LKOH,2880,B,T,17.469176967035125,8.900002628282914e-05,2181.2,4
48,1081,2007-10-08,LKOH,2910,S,T,-98.39688417530375,0.0090213636400459,2183.9,1
49,1091,2007-10-08,LKOH,2937,B,T,100.0,0.0016134524966394,2179.25,3
50,1101,2007-10-08,LKOH,2974,B,T,1.676564387611463,0.0012049980931379,2183.01,4
51,1109,2007-10-08,LKOH,3001,S,T,-20.40917681596116,0.003435207791563,2180.11,4
52,1150,2007-10-08,LKOH,3189,S,T,-0.5554951838904516,0.0013842761381316,2182.18,4
53,1151,2007-10-08,LKOH,3191,S,T,-100.0,0.0245126023909272,2182.99,1
54,1177,2007-10-08,LKOH,3300,S,T,-18.60883900934906,0.0115192791097456,2183.01,4
55,1179,2007-10-08,LKOH,3308,B,T,0.2296354798816206,0.0025173005964877,2184.0,4
56,1180,2007-10-08,LKOH,3313,S,T,-86.66605611014441,0.0071904681627238,2183.8,1
57,1212,2007-10-08,LKOH,3410,S,T,-59.67631999187837,0.0058121199963126,2182.98,1
58,1220,2007-10-08,LKOH,3456,S,T,-77.76546398911202,0.0099751217164652,2182.0,1
59,1221,2007-10-08,LKOH,3458,B,T,0.5863449028336125,0.0026693090507013,2181.31,4
60,1224,2007-10-08,LKOH,3467,S,T,-0.2968739383981008,0.0248672259160035,2183.0,4
61,1231,2007-10-08,LKOH,3502,S,T,-14.27457132040148,0.0053379062384728,2178.83,4
62,1243,2007-10-08,LKOH,3552,B,T,-0.0876110619286292,0.0086243813247549,2180.09,4
63,1250,2007-10-08,LKOH,3575,S,T,0.0825688073394495,0.0034615805879893,2180.0,4
64,1284,2007-10-08,LKOH,3704,B,T,0.091869545245751,0.0433206893697628,2177.0,4
65,1286,2007-10-08,LKOH,3708,S,T,-42.59578445349621,0.0155824044330336,2171.95,4
66,1300,2007-10-08,LKOH,3755,S,T,-0.7325594774122793,0.0175254854953051,2177.94,4
67,1305,2007-10-08,LKOH,3768,S,T,-23.201893200698,0.0201643929870783,2177.0,4
68,1307,2007-10-08,LKOH,3773,B,T,100.0,0.0040484569807262,2176.23,3
69,1329,2007-10-08,LKOH,3871,S,T,-0.9880717017447684,0.0141805239536306,2176.0,4
70,1346,2007-10-08,LKOH,3938,S,T,-2.8595151203300166,0.0062560189382647,2185.1,4
71,1359,2007-10-08,LKOH,4006,S,T,-100.0,0.028724224875949,2174.49,1
72,1366,2007-10-08,LKOH,4033,S,T,-30.566331999506957,0.0074346276477795,2177.0,4
73,1367,2007-10-08,LKOH,4041,B,T,100.0,0.0173654165037917,2173.35,3
74,1385,2007-10-08,LKOH,4121,B,T,57.1360035626734,0.0091212062820532,2170.97,3
75,1389,2007-10-08,LKOH,4135,S,T,-18.002784714332666,0.010311603337307,2171.15,4
76,1397,2007-10-08,LKOH,4171,B,T,0.0092030185900891,0.1030525337872986,2173.2,2
77,1398,2007-10-08,LKOH,4174,S,T,-100.0,0.068512797229626,2174.94,1
78,1404,2007-10-08,LKOH,4193,B,T,47.90324496367622,0.0419867824463396,2174.94,3
79,1418,2007-10-08,LKOH,4255,B,T,-0.0045979125476991,0.1158235871664403,2174.9,2
80,1435,2007-10-08,LKOH,4323,B,T,100.0,0.0738072522033929,2173.21,3
81,1436,2007-10-08,LKOH,4328,B,T,100.0,0.0261761546625096,2173.25,3
82,1444,2007-10-08,LKOH,4378,S,T,0.0607234758063758,0.0363611528496056,2173.7,4
83,1457,2007-10-08,LKOH,4446,S,T,-100.0,0.0098965216338441,2173.34,1
84,1460,2007-10-08,LKOH,4455,B,T,1.3687390700204691,0.0149632151511094,2174.0,4
