,SECCODE,DATE,OBPLOTNO,BUYSELLOBP,TRADESNOTRADES,BUYSELLYIELD,OBPTDVOLRATIO,MINMAXRATIO
23,LKOH,2007-10-08,46,B,T,9.453688269233055,0.006242418967331286,2170.3
26,LKOH,2007-10-08,52,B,T,0.548729892327049,0.01382773972280334,2153.05
27,LKOH,2007-10-08,60,B,T,0.7314997757960112,0.010869117196545234,2150.95
28,LKOH,2007-10-08,64,S,T,-8.32900751854519,0.05853504394552477,2149.99
29,LKOH,2007-10-08,68,S,T,-2.152381775180326,0.0030222215097960407,2149.72
31,LKOH,2007-10-08,77,B,T,0.7879096818419895,0.0015909325819667304,2147.99
32,LKOH,2007-10-08,83,B,T,9.22560437940334,0.006310860505838371,2146.87
55,LKOH,2007-10-08,129,S,T,-53.16644429757,0.04462913092959953,2194.99
129,LKOH,2007-10-08,284,B,T,36.78949030802677,0.0054993099261185455,2173.94
138,LKOH,2007-10-08,302,S,T,-1.5488428315048215,0.015173917506156674,2195.0
223,LKOH,2007-10-08,474,S,T,-6.419027835818011,0.004453762704339994,2196.0
253,LKOH,2007-10-08,536,B,T,0.8827019997322236,0.01619495115273539,2163.11
373,LKOH,2007-10-08,799,B,T,72.57114143090766,0.008967694102608286,2156.5
419,LKOH,2007-10-08,911,B,T,1.2431390386954448,0.003418044860579125,2166.42
420,LKOH,2007-10-08,913,B,T,39.27243766964658,0.026852742267447903,2184.0
586,LKOH,2007-10-08,1294,B,T,2.241233762265635,0.007988065746947244,2151.9
629,LKOH,2007-10-08,1399,B,T,0.0038905878355449926,0.005898998948617017,2180.0
660,LKOH,2007-10-08,1502,S,T,-7.123166720344546,0.0014423520677692913,2167.5
661,LKOH,2007-10-08,1505,B,T,34.98987202252837,0.0030608929963461293,2174.03
670,LKOH,2007-10-08,1555,B,T,100.0,0.003869851558028462,2152.78
685,LKOH,2007-10-08,1603,B,T,-0.04422768810407441,0.005207830866944906,2182.0
691,LKOH,2007-10-08,1629,S,T,-5.073388278318941,0.006132105851844789,2183.0
708,LKOH,2007-10-08,1681,B,T,0.20199776181198176,0.02012290246068141,2185.0
720,LKOH,2007-10-08,1742,S,T,0.0,0.033843139570817825,2190.0
722,LKOH,2007-10-08,1748,S,T,-3.1987768965826713,0.017997628148152242,2187.0
728,LKOH,2007-10-08,1768,S,T,-6.365865059773886,0.009535033203309432,2194.5
759,LKOH,2007-10-08,1842,S,T,-11.556162400975015,0.021226850805005318,2188.0
763,LKOH,2007-10-08,1862,S,T,-31.120430635111568,0.0033896139052544093,2186.0
766,LKOH,2007-10-08,1869,S,T,-11.245831676031035,0.12956668791474912,2193.65
771,LKOH,2007-10-08,1886,B,T,100.0,0.0010519691313462785,2184.89
773,LKOH,2007-10-08,1894,S,T,-100.0,0.01701589804503048,2187.9
776,LKOH,2007-10-08,1903,S,T,0.5530417295123136,0.013168084025213394,2187.9
781,LKOH,2007-10-08,1915,B,T,-0.0010068640669416479,0.002636317865482801,2185.01
804,LKOH,2007-10-08,1988,S,T,-2.4712110147587705,0.014226740153611216,2187.0
824,LKOH,2007-10-08,2076,B,T,100.0,0.01688772321015638,2185.19
827,LKOH,2007-10-08,2082,S,T,-42.857142857142854,0.0001358752319378814,2187.89
837,LKOH,2007-10-08,2108,B,T,-0.0013063012271118364,0.003905590600425447,2188.0
886,LKOH,2007-10-08,2250,S,T,-99.46526724123224,0.0016888600560208032,2187.8
950,LKOH,2007-10-08,2452,S,T,-23.33179657403982,0.0010106594941732719,2185.69
957,LKOH,2007-10-08,2482,S,T,-100.0,0.02687317471592523,2186.99
958,LKOH,2007-10-08,2484,B,T,-0.1380899688154433,0.0022195562773091333,2186.98
970,LKOH,2007-10-08,2531,S,T,0.04574565416285453,0.006151372050483116,2186.0
978,LKOH,2007-10-08,2571,B,T,3.000198732111975,0.0036580979678848234,2187.5
1011,LKOH,2007-10-08,2699,B,T,25.111163273664836,0.008177090112047562,2181.0
1039,LKOH,2007-10-08,2777,S,T,-68.53327305263838,0.0006589317303010479,2183.0
1047,LKOH,2007-10-08,2803,S,T,-100.0,0.02171220280012257,2182.9
1069,LKOH,2007-10-08,2865,S,T,1.2787713297400083,0.0036253708008158634,2181.0
1075,LKOH,2007-10-08,2880,B,T,17.469176967035125,8.900002628282914e-05,2181.2
1081,LKOH,2007-10-08,2910,S,T,-98.39688417530375,0.009021363640045988,2183.9
1091,LKOH,2007-10-08,2937,B,T,100.0,0.001613452496639401,2179.25
1101,LKOH,2007-10-08,2974,B,T,1.6765643876114633,0.0012049980931379963,2183.01
1109,LKOH,2007-10-08,3001,S,T,-20.40917681596116,0.003435207791563034,2180.11
1150,LKOH,2007-10-08,3189,S,T,-0.5554951838904516,0.0013842761381316058,2182.18
1151,LKOH,2007-10-08,3191,S,T,-100.00000000000001,0.02451260239092729,2182.99
1177,LKOH,2007-10-08,3300,S,T,-18.60883900934906,0.011519279109745617,2183.01
1179,LKOH,2007-10-08,3308,B,T,0.2296354798816206,0.002517300596487753,2184.0
1180,LKOH,2007-10-08,3313,S,T,-86.66605611014441,0.0071904681627238945,2183.8
1212,LKOH,2007-10-08,3410,S,T,-59.67631999187837,0.005812119996312669,2182.98
1220,LKOH,2007-10-08,3456,S,T,-77.76546398911202,0.009975121716465293,2182.0
